Title;Adress;Description;Cost;Phase;Blogpost URL;Databases;Company / Owner
Unpaywall;https://unpaywall.org/;Browser extension that links your browser to a databases containing free (legal) access to articles. For instance if you find an article through Scopus and the UT doesn't have access,  this might provide you with a link to the full text.;Free;Access;;;OurResearch
Lean Library;https://leanlibrary.com/;Plugin to get access to articles, books, etc that the UT has access to from any network in the world. ;Free;Access;;;SAGE
Openacces.nl;https://www.openaccess.nl/;Site focusing on (Dutch) Open Acces science: publishing, data, education, finding, repositories, etc. Example: a great guide on how to get access & find open acces sources https://www.openaccess.nl/sites/www.openaccess.nl/files/documenten/20-006_how_to_get_the_pdf_february3rd.pdf ;Free;Access;;;UKB, VSNU, NWO, SURF
PaperPanda;https://paperpanda.app/;Another browser plugin like Unpaywall or Lean Library, that tries to get you access to the papers you want.;Free;Access;;;
Research Rabbit;https://www.researchrabbit.ai/;Tool to do literature dives with tabbed views, graphs, and more. Based on multiple databases like Semantic Scholar's.  Quick guide: https://twitter.com/MushtaqBilalPhD/status/1576864148926783488 ;Free;Discovery;;Semantic Scholar Corpus;Research Rabbit Team
Open Knowledge Maps;https://openknowledgemaps.org/;Makes graphs based on multiple databases (BASE,  pubmed,  OpenAIRE) to visualize and explore articles through an open source algorithm based on metadata and ranking of base/pubmed.;Free;Discovery;;BASE,PubMed;Open Knowledge Maps
Connected Papers;https://www.connectedpapers.com/;Tool based on semantic scholar to make graphs and discover new research articles.  Quick guide: https://twitter.com/MushtaqBilalPhD/status/1608038262244777984;Trial ;Discovery;;Semantic Scholar Corpus;Connected Papers
Elicit;https://elicit.org/;tool that uses GPT to find articles based on natural language queries. Still under development,  current focus on empirical journal articles (so not great find things like systematic reviews etc). Quick guide: https://twitter.com/MushtaqBilalPhD/status/1607347756498096128;Free;Discovery;;Semantic Scholar Corpus;Ought
scite;https://scite.ai/;GPT search to find supporting or dissenting papers on your subject/question. Has a zotero plugin to integrate in your bibliography.;Trial ;Discovery;;;scite
Scispace;https://typeset.io/;GPT search with functions like summaries,  chatbot,  exploring related content,  etc.;Free;Discovery;;;typeset.io
Litmaps;https://www.litmaps.com/;Graph-based tool for discovering research, identifying subcategories, and more. Built upon open databases (crossref, openalex, semantic scholar).  Quick guide: https://twitter.com/MushtaqBilalPhD/status/1605110005266386944;Free basic usage;Discovery;;Crossref,OpenAlex,Semantic Scholar Corpus;Litmaps
Inciteful;https://inciteful.xyz/;"Builds graphs & connections between papers to discover more; great for literature review. Built upon crossref & open citations.  Quick guide: https://twitter.com/MushtaqBilalPhD/status/1607659489003728896";Free;Discovery;https://utsmok.github.io/posts/inciteful/;Crossref,OpenCitations,OpenAlex;Inciteful
